name	 0.25	 0.50	 0.75	 1.00	 1.25	 1.50	 1.75	 2.00	 2.25	 2.50	 2.75	 3.00	 3.25	 3.50	 3.75	 4.00	 4.25	 4.50	 4.75	 5.00	 5.25	 5.50	 5.75	 6.00	 6.25	 6.50	 6.75	 7.00	 7.25	 7.50	 7.75	 8.00	 8.25	 8.50	 8.75	 9.00	 9.25	 9.50	 9.75	10.00	10.25	10.50	10.75	11.00	11.25	11.50	11.75	12.00	12.25	12.50	12.75
23-6-2010-pH46a_PrjData.TIF	27786209.0000	28570515.0000	29635356.0000	30904996.0000	32258597.0000	33658541.0000	35039830.0000	36427099.0000	37763700.0000	39081224.0000	40450240.0000	41732970.0000	42956744.0000	44098804.0000	45184906.0000	46297315.0000	47263595.0000	48140964.0000	48987017.0000	49811487.0000	50596106.0000	51330250.0000	51973456.0000	52589406.0000	53201587.0000	53652703.0000	54162457.0000	54613110.0000	55001172.0000	55423114.0000	55865552.0000	56198688.0000	56489571.0000	56823360.0000	57089927.0000	57400608.0000	57704647.0000	57952347.0000	58162417.0000	58380308.0000	58671363.0000	58922410.0000	59177101.0000	59359682.0000	59605998.0000	59792503.0000	59918777.0000	60082156.0000	60256810.0000	60363740.0000	60445513.0000
23-6-2010-pH46b_PrjData.TIF	24472517.0000	25173009.0000	26128051.0000	27249950.0000	28436512.0000	29676828.0000	30950498.0000	32210949.0000	33436818.0000	34682171.0000	35844061.0000	36996988.0000	38146420.0000	39255294.0000	40343160.0000	41345321.0000	42341755.0000	43229917.0000	44101372.0000	44886722.0000	45627225.0000	46281558.0000	46855409.0000	47458441.0000	48062757.0000	48529594.0000	49000315.0000	49548820.0000	50005268.0000	50494302.0000	50849314.0000	51211981.0000	51529974.0000	51822275.0000	52049061.0000	52364340.0000	52642669.0000	52920819.0000	53178002.0000	53488139.0000	53650150.0000	53842957.0000	54021201.0000	54238313.0000	54535696.0000	54759782.0000	54991534.0000	55187837.0000	55364597.0000	55503570.0000	55640456.0000
23-6-2010-pH46c_PrjData.TIF	27451350.0000	28231397.0000	29287499.0000	30556355.0000	31900399.0000	33339347.0000	34757369.0000	36178151.0000	37586216.0000	38948042.0000	40310005.0000	41629607.0000	42894421.0000	44150390.0000	45333599.0000	46432322.0000	47464260.0000	48363823.0000	49212155.0000	49973444.0000	50774905.0000	51386254.0000	52038435.0000	52604572.0000	53201868.0000	53784008.0000	54313644.0000	54817915.0000	55270496.0000	55730020.0000	56159099.0000	56574233.0000	56925435.0000	57274672.0000	57525081.0000	57861119.0000	58121926.0000	58366556.0000	58767780.0000	58998006.0000	59308109.0000	59526136.0000	59669291.0000	59783712.0000	59871007.0000	60036667.0000	60172517.0000	60313847.0000	60450501.0000	60596455.0000	60778777.0000
23-6-2010-pH46d_PrjData.TIF	27516799.0000	28301330.0000	29350505.0000	30603268.0000	31933112.0000	33336607.0000	34801195.0000	36242847.0000	37648669.0000	39052876.0000	40390457.0000	41744885.0000	43056391.0000	44335280.0000	45481090.0000	46607129.0000	47650576.0000	48667544.0000	49467906.0000	50312600.0000	51087810.0000	51770380.0000	52439087.0000	53029615.0000	53634646.0000	54132669.0000	54637449.0000	55088603.0000	55389543.0000	55841079.0000	56324413.0000	56628604.0000	56959458.0000	57339293.0000	57643919.0000	57929171.0000	58265907.0000	58534527.0000	58735130.0000	58932466.0000	59098539.0000	59254368.0000	59485587.0000	59623476.0000	59814213.0000	59901568.0000	60086199.0000	60193618.0000	60346666.0000	60418896.0000	60642332.0000
23-6-2010-pH46e_PrjData.TIF	27998717.0000	28800654.0000	29863480.0000	31137872.0000	32506401.0000	33892214.0000	35336598.0000	36749931.0000	38143957.0000	39499285.0000	40806879.0000	42103016.0000	43418114.0000	44642398.0000	45848098.0000	46932843.0000	47986896.0000	49132023.0000	49988962.0000	50796112.0000	51580154.0000	52342268.0000	52999921.0000	53550465.0000	54210139.0000	54715211.0000	55231284.0000	55687359.0000	56107169.0000	56507705.0000	56876143.0000	57113813.0000	57412688.0000	57717962.0000	58050298.0000	58292238.0000	58546353.0000	58726696.0000	58974773.0000	59247968.0000	59358943.0000	59500784.0000	59686852.0000	59875085.0000	59968645.0000	60098035.0000	60273073.0000	60418181.0000	60481845.0000	60559809.0000	60675825.0000
23-6-2010-pH48a_PrjData.TIF	31832667.0000	32736875.0000	33902632.0000	35259302.0000	36664741.0000	38083702.0000	39511665.0000	40911819.0000	42286436.0000	43547929.0000	44759023.0000	45940612.0000	47029819.0000	48033712.0000	48908455.0000	49784062.0000	50647787.0000	51407741.0000	52083479.0000	52721471.0000	53288787.0000	53842650.0000	54303989.0000	54777914.0000	55310687.0000	55695594.0000	56066195.0000	56373993.0000	56672270.0000	57033334.0000	57319757.0000	57590658.0000	57816874.0000	58012453.0000	58203974.0000	58382163.0000	58521254.0000	58661460.0000	58808976.0000	58961624.0000	59105143.0000	59267972.0000	59391570.0000	59514244.0000	59636523.0000	59727283.0000	59892582.0000	60008328.0000	60116442.0000	60319065.0000	60458188.0000
23-6-2010-pH48b_PrjData.TIF	30518667.0000	31363015.0000	32520929.0000	33896381.0000	35356721.0000	36876945.0000	38377310.0000	39845804.0000	41262589.0000	42611114.0000	43915010.0000	45210326.0000	46406965.0000	47561057.0000	48598925.0000	49612589.0000	50545332.0000	51390097.0000	52111553.0000	52898317.0000	53536191.0000	54083961.0000	54607616.0000	55090287.0000	55547660.0000	55994465.0000	56381617.0000	56783930.0000	57108307.0000	57432909.0000	57813890.0000	58139765.0000	58416478.0000	58769162.0000	59012260.0000	59155531.0000	59380404.0000	59575297.0000	59778250.0000	59965063.0000	60192746.0000	60387861.0000	60552485.0000	60698597.0000	60799415.0000	60896574.0000	60984835.0000	61106363.0000	61177198.0000	61329213.0000	61433176.0000
23-6-2010-pH48c_PrjData.TIF	28655661.0000	29458326.0000	30544709.0000	31842293.0000	33212534.0000	34620698.0000	36048586.0000	37465631.0000	38874659.0000	40268048.0000	41619382.0000	42945920.0000	44213076.0000	45445813.0000	46607386.0000	47700008.0000	48805492.0000	49740554.0000	50587491.0000	51428737.0000	52191411.0000	52826822.0000	53458758.0000	54044050.0000	54602802.0000	55105190.0000	55613212.0000	56105848.0000	56402918.0000	56775313.0000	57065668.0000	57442184.0000	57662710.0000	57947561.0000	58203836.0000	58505972.0000	58705953.0000	58995740.0000	59232488.0000	59401441.0000	59615366.0000	59807518.0000	59967235.0000	60146548.0000	60279404.0000	60384068.0000	60502862.0000	60603050.0000	60708708.0000	60813390.0000	60909252.0000
23-6-2010-pH48d_PrjData.TIF	28369179.0000	29162644.0000	30249768.0000	31521607.0000	32866760.0000	34267190.0000	35691542.0000	37099933.0000	38488548.0000	39856141.0000	41277681.0000	42629953.0000	43934944.0000	45172852.0000	46398269.0000	47509271.0000	48593643.0000	49593915.0000	50571399.0000	51456862.0000	52237719.0000	53088061.0000	53787064.0000	54460102.0000	55045853.0000	55683226.0000	56148301.0000	56678646.0000	57105886.0000	57555938.0000	57955770.0000	58278724.0000	58573258.0000	58879334.0000	59188991.0000	59426304.0000	59660528.0000	59904278.0000	60128811.0000	60329790.0000	60484356.0000	60636401.0000	60874843.0000	61036149.0000	61264937.0000	61437824.0000	61527468.0000	61687737.0000	61797163.0000	61852134.0000	61941367.0000
