name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
23-6-2010-pH46a_PrjData.TIF	30040836.0000	30570755.0000	31263717.0000	32080355.0000	32926861.0000	33789775.0000	34645729.0000	35492510.0000	36301946.0000	37100317.0000	37857002.0000	38623742.0000	39365918.0000	40068491.0000	40744243.0000	41375140.0000	42012148.0000	42599808.0000	43174755.0000	43711410.0000	44216440.0000	44720317.0000	45199477.0000	45671872.0000	46143208.0000	46578388.0000	47013680.0000	47410091.0000	47792389.0000	48146524.0000	48480979.0000	48820368.0000	49139728.0000	49452247.0000	49764911.0000	50081384.0000	50405564.0000	50694259.0000	50975003.0000	51217046.0000	51447006.0000	51694776.0000	51930207.0000	52158492.0000	52380670.0000	52602374.0000	52813008.0000	53018692.0000	53223892.0000	53422705.0000	53649330.0000
23-6-2010-pH46b_PrjData.TIF	29517525.0000	30038663.0000	30723070.0000	31518808.0000	32335492.0000	33183876.0000	34034142.0000	34875665.0000	35689897.0000	36511085.0000	37302390.0000	38068737.0000	38817015.0000	39526726.0000	40229113.0000	40898461.0000	41564829.0000	42218759.0000	42833153.0000	43427317.0000	43956617.0000	44504899.0000	45008633.0000	45479496.0000	45970800.0000	46412559.0000	46828624.0000	47228843.0000	47613577.0000	47981161.0000	48319351.0000	48638290.0000	48948658.0000	49256841.0000	49559985.0000	49875706.0000	50152456.0000	50413610.0000	50668666.0000	50915665.0000	51152785.0000	51367435.0000	51581740.0000	51806142.0000	52018530.0000	52227867.0000	52398090.0000	52593197.0000	52788485.0000	53000967.0000	53195492.0000
23-6-2010-pH46c_PrjData.TIF	29713347.0000	30218545.0000	30875809.0000	31639770.0000	32443260.0000	33284290.0000	34109428.0000	34914121.0000	35751757.0000	36536776.0000	37315761.0000	38069222.0000	38812466.0000	39512534.0000	40192647.0000	40870920.0000	41520424.0000	42161378.0000	42781667.0000	43351017.0000	43904217.0000	44431080.0000	44933593.0000	45408516.0000	45856152.0000	46329197.0000	46765425.0000	47207734.0000	47613328.0000	48007607.0000	48409427.0000	48776493.0000	49111709.0000	49438001.0000	49768124.0000	50056912.0000	50336308.0000	50619775.0000	50901412.0000	51174376.0000	51424416.0000	51681457.0000	51903973.0000	52103813.0000	52325221.0000	52533613.0000	52747996.0000	52961386.0000	53179810.0000	53362173.0000	53559673.0000
23-6-2010-pH46d_PrjData.TIF	29878670.0000	30384894.0000	31036242.0000	31777764.0000	32564880.0000	33383888.0000	34209191.0000	35005719.0000	35792815.0000	36568632.0000	37360452.0000	38139921.0000	38869599.0000	39574871.0000	40270888.0000	40955595.0000	41620683.0000	42263195.0000	42859238.0000	43434649.0000	44010769.0000	44521007.0000	45021199.0000	45482583.0000	45952275.0000	46378728.0000	46794910.0000	47226549.0000	47609701.0000	47993084.0000	48352454.0000	48686676.0000	48995492.0000	49314303.0000	49613707.0000	49939128.0000	50242410.0000	50526940.0000	50815702.0000	51078379.0000	51323459.0000	51606472.0000	51869287.0000	52118708.0000	52345660.0000	52579256.0000	52837454.0000	53041266.0000	53251962.0000	53425040.0000	53607290.0000
23-6-2010-pH46e_PrjData.TIF	30016811.0000	30546193.0000	31228737.0000	32016552.0000	32859368.0000	33701569.0000	34559701.0000	35407825.0000	36238697.0000	37042231.0000	37827886.0000	38604410.0000	39350096.0000	40074160.0000	40774706.0000	41450755.0000	42123851.0000	42754467.0000	43349115.0000	43928906.0000	44484826.0000	45056319.0000	45594010.0000	46118668.0000	46629352.0000	47071625.0000	47494073.0000	47880603.0000	48271875.0000	48654783.0000	49018773.0000	49363368.0000	49691560.0000	50005146.0000	50306641.0000	50589218.0000	50861612.0000	51104328.0000	51341201.0000	51573264.0000	51817644.0000	52049814.0000	52304208.0000	52535109.0000	52743801.0000	52952574.0000	53150581.0000	53358412.0000	53551348.0000	53745398.0000	53926423.0000
23-6-2010-pH48a_PrjData.TIF	31349445.0000	31960436.0000	32745700.0000	33648695.0000	34571043.0000	35499441.0000	36428364.0000	37339982.0000	38239918.0000	39092862.0000	39930562.0000	40749062.0000	41536760.0000	42270234.0000	42982323.0000	43638451.0000	44300235.0000	44895813.0000	45455082.0000	45983245.0000	46471825.0000	46937011.0000	47393082.0000	47837035.0000	48259075.0000	48695618.0000	49081692.0000	49454107.0000	49801377.0000	50156036.0000	50497841.0000	50835889.0000	51144113.0000	51441532.0000	51737009.0000	52003116.0000	52255530.0000	52500997.0000	52756110.0000	52987972.0000	53231172.0000	53463903.0000	53674554.0000	53868493.0000	54037607.0000	54204621.0000	54366886.0000	54542929.0000	54689257.0000	54846311.0000	54994086.0000
23-6-2010-pH48b_PrjData.TIF	30825090.0000	31384742.0000	32119850.0000	32976876.0000	33870416.0000	34776540.0000	35677647.0000	36571546.0000	37445586.0000	38268956.0000	39068336.0000	39842580.0000	40591968.0000	41313389.0000	42043314.0000	42748170.0000	43420866.0000	44060127.0000	44653002.0000	45224263.0000	45792073.0000	46317885.0000	46809486.0000	47285000.0000	47738444.0000	48161513.0000	48590136.0000	49012979.0000	49407793.0000	49775372.0000	50087942.0000	50435034.0000	50751546.0000	51048160.0000	51348227.0000	51644517.0000	51894231.0000	52118373.0000	52354695.0000	52588257.0000	52797777.0000	53025289.0000	53244949.0000	53443592.0000	53646058.0000	53846333.0000	54035531.0000	54218718.0000	54403446.0000	54606490.0000	54770265.0000
23-6-2010-pH48c_PrjData.TIF	30272010.0000	30803685.0000	31483073.0000	32278195.0000	33111457.0000	33962451.0000	34811586.0000	35632817.0000	36443033.0000	37241862.0000	38035902.0000	38839841.0000	39616013.0000	40375099.0000	41087993.0000	41791431.0000	42473167.0000	43124615.0000	43752140.0000	44340993.0000	44911363.0000	45453327.0000	45949735.0000	46418683.0000	46852591.0000	47278413.0000	47696311.0000	48084490.0000	48480872.0000	48872625.0000	49257450.0000	49592375.0000	49913975.0000	50214959.0000	50545541.0000	50846864.0000	51154466.0000	51435728.0000	51700873.0000	51960558.0000	52239258.0000	52525024.0000	52787755.0000	53035182.0000	53253840.0000	53477108.0000	53707062.0000	53900990.0000	54118790.0000	54305776.0000	54530051.0000
23-6-2010-pH48d_PrjData.TIF	30049081.0000	30547883.0000	31197391.0000	31936943.0000	32709585.0000	33490833.0000	34283730.0000	35047055.0000	35793223.0000	36531163.0000	37258868.0000	37999115.0000	38710601.0000	39419355.0000	40097718.0000	40750634.0000	41404722.0000	42043692.0000	42645639.0000	43255813.0000	43830563.0000	44395155.0000	44935816.0000	45430516.0000	45938440.0000	46392041.0000	46837577.0000	47256576.0000	47645874.0000	48022131.0000	48402456.0000	48776935.0000	49161559.0000	49518653.0000	49856460.0000	50173638.0000	50508312.0000	50849742.0000	51158796.0000	51426291.0000	51672951.0000	51904568.0000	52138088.0000	52376233.0000	52625427.0000	52880601.0000	53094294.0000	53327825.0000	53534969.0000	53760971.0000	53968621.0000
23-6-2010-pH48e_PrjData.TIF	29561543.0000	30023310.0000	30646344.0000	31368067.0000	32144751.0000	32969467.0000	33777481.0000	34594051.0000	35385243.0000	36166153.0000	36939913.0000	37696111.0000	38457589.0000	39183788.0000	39915939.0000	40586386.0000	41237802.0000	41875398.0000	42480909.0000	43029886.0000	43597246.0000	44107303.0000	44615943.0000	45084835.0000	45586951.0000	46049752.0000	46517752.0000	46976115.0000	47438185.0000	47842857.0000	48219492.0000	48575413.0000	48923637.0000	49234714.0000	49551050.0000	49865229.0000	50151915.0000	50404100.0000	50649580.0000	50902472.0000	51133972.0000	51366109.0000	51594757.0000	51843788.0000	52074326.0000	52300917.0000	52522016.0000	52752259.0000	52941979.0000	53112531.0000	53296956.0000
